NUMBER,NAME,DESKV,TYPE,INSTALL_DATE,FEET,MILES,OPCO,EAS_NUM,STATUS,OWNER,OBJECTID
340,Van Asche - Dyess,161 kV,Line,2000/12/31,29522,5.591,Southwestern Electric Power (AR),TLN194:00340,In service,AEP - SEP non-TX,290750
341,Fayetteville - South Fayetteville,161 kV,Line,1900/01/01,10466,1.982,Southwestern Electric Power (AR),TLN194:00341,In service,AEP - SEP non-TX,299598
342,Fayetteville - Van Asche,161 kV,Line,2007/12/02,24220,4.587,Southwestern Electric Power (AR),TLN194:00342,In service,AEP - SEP non-TX,299614
343,East Centerton - Shipe Road,161 kV,Line,2013/12/31,17682,3.349,Southwestern Electric Power (AR),TLN194:00343,In service,AEP - SEP non-TX,470002
344,Flint Creek - Shipe Road,345 kV,Line,2013/05/21,76113,14.415,Southwestern Electric Power (AR),TLN194:00344,In service,AEP - SEP non-TX,499441
345,Turk - Hope,138 kV,Line,2009/12/31,32056,6.071,Southwestern Electric Power (AR),TLN194:00345,In service,AEP - SEP non-TX,419442
347,East Leesville - Hicks,69 kV,Line,1979/12/31,87734,16.616,Southwestern Electric Power (LA),TLN194:00347,In service,AEP - SEP non-TX,439601
348,East Leesville - North Leesville,69 kV,Line,1979/12/31,17290,3.275,Southwestern Electric Power (LA),TLN194:00348,In service,AEP - SEP non-TX,439284
349,Many - Belmont,69 kV,Line,1984/12/31,55730,10.555,Southwestern Electric Power (LA),TLN194:00349,In service,AEP - SEP non-TX,438324
350,Many - Negreet,69 kV,Line,1984/12/31,67512,12.786,Southwestern Electric Power (LA),TLN194:00350,In service,AEP - SEP non-TX,439281
351,Noble - Mount Zion,69 kV,Line,1984/12/31,64572,12.230,Southwestern Electric Power (LA),TLN194:00351,In service,AEP - SEP non-TX,438325
352,North Leesville - Hornbeck,69 kV,Line,1979/12/31,69120,13.091,Southwestern Electric Power (LA),TLN194:00352,In service,AEP - SEP non-TX,439283
353,Belmont - Marthaville,69 kV,Line,1986/12/31,49338,9.344,Southwestern Electric Power (LA),TLN194:00353,In service,AEP - SEP non-TX,438322
354,Many - Mt.Zion,69 kV,Line,1984/12/31,160,0.030,Southwestern Electric Power (LA),TLN194:00354,In service,AEP - SEP non-TX,439282
355,Montgomery - Verda,69 kV,Line,1971/12/31,17223,3.262,Southwestern Electric Power (LA),TLN194:00355,In service,AEP - SEP non-TX,439921
357,Jeld Wen - CLECO,115 kV,Line,2006/12/31,3369,0.638,Southwestern Electric Power (LA),TLN194:00357,In service,AEP - SEP non-TX,440244
358,Marthaville - Robeline,69 kV,Line,2012/02/29,43989,8.331,Southwestern Electric Power (LA),TLN194:00358,In service,AEP - SEP non-TX,453041
359,Robson Road (POD) - Kingston,69 kV,Line,1900/01/01,72233,13.681,Southwestern Electric Power (LA),TLN194:00359,In service,AEP - SEP non-TX,438321
364,Port Robson - Benteler #1,138 kV,Line,2014/01/12,21634,4.097,Southwestern Electric Power (LA),TLN194:00364,In service,AEP - SEP non-TX,505846
365,Port Robson - Benteler #2,138 kV,Line,2014/06/09,16745,3.171,Southwestern Electric Power (LA),TLN194:00365,In service,AEP - SEP non-TX,523762
368,Fern Street - Pierremont 138kV,138 kV,Line,2014/09/07,5235,0.991,Southwestern Electric Power (LA),TLN194:00368,In service,AEP - SEP non-TX,523441
369,Midland - North Huntington,161 kV,Line,2014/12/14,25145,4.762,Southwestern Electric Power (AR),TLN194:00369,In service,AEP - SEP non-TX,609857
370,Midland - LeFlore County (PSO) 161kV,161 kV,Line,2014/07/07,36871,6.983,Southwestern Electric Power (LA),TLN194:00370,In service,AEP - SEP non-TX,526641
373,Evenside - Northwest Henderson,138 kV,Line,1970/12/31,33798,6.401,Southwestern Electric Power (TX,TLN194:00373,In service,AEP - SEP TX,292542
389,Greenland - VBI North (AECC),161 kV,Line,2017/09/17,62863,11.906,Southwestern Electric Power (AR),TLN194:00389,In service,AEP - SEP non-TX,668721
0241A,Bann - IPC Domino,138 kV,Line,1941/12/31,60363,11.432,Southwestern Electric Power (TX,TLN194:0241A,In service,AEP - SEP TX,298302
104A,Dogwood Tap,69 kV,Tap,1900/01/01,18372,3.480,Southwestern Electric Power (LA),TLN194:0104A,In service,AEP - SEP non-TX,289838
104B,Cities Service Tap,69 kV,Tap,1900/01/01,11688,2.214,Southwestern Electric Power (LA),TLN194:0104B,In service,AEP - SEP non-TX,300366
107A,Stonewall Tap,138 kV,Tap,1946/12/31,42979,8.140,Southwestern Electric Power (LA),TLN194:0107A,In service,AEP - SEP non-TX,300110
